molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"screen_liperp.csv:1295",0,0,0,0,0,5,0,-2,295.343,12.001,584.745,0.000,184.823,399.923,0.000,996.936,1.500,4.000,0.1444596,0.0083780,0.8253594,34.352,11.874,17.983,10.138,2.962,-5.625,-5.666,-6.265,175.076,-1.547,75.226,-3.037,8.558,1.207,1,0.316,3,84.438,0.000,0.000,77.613,3,0,18,0,18,0,23,0,0.001
"screen_liperp.csv:1843",0,0,0,0,0,3,0,-2,290.321,9.483,549.556,84.878,154.196,310.482,0.000,944.655,2.000,5.500,0.0951943,0.0141536,0.8472307,32.690,10.686,18.094,11.887,1.991,-3.700,-3.892,-5.485,341.712,-1.049,154.986,-2.980,9.192,1.648,1,0.006,3,83.953,0.000,0.000,89.341,4,0,16,0,16,0,22,0,0.041
"screen_liperp.csv:1737",0,0,0,0,0,2,0,-1,295.727,2.526,543.108,80.278,159.888,241.893,61.049,911.689,1.000,5.000,0.0069986,0.0092063,0.8372268,31.358,10.081,14.909,9.729,2.364,-5.283,-5.202,-5.319,301.773,-0.928,292.666,-3.422,8.755,1.533,3,0.057,3,85.168,0.000,0.000,78.230,4,0,16,0,16,0,21,0,0.000
"screen_liperp.csv:2444",0,0,0,0,0,3,0,-2,287.320,2.001,578.331,94.469,143.478,340.383,0.000,969.770,1.000,5.000,0.0041306,0.0086456,0.8192843,33.981,10.764,15.480,10.130,2.676,-5.461,-5.035,-6.079,431.811,-1.042,199.593,-2.677,8.502,1.220,1,0.159,3,89.781,0.000,0.000,74.334,4,0,16,0,16,0,22,0,0.002
"screen_liperp.csv:304",0,0,0,0,0,2,2,-1,289.333,8.726,549.391,90.075,149.838,309.478,0.000,947.637,1.500,5.000,0.0803533,0.0111464,0.8492687,33.442,10.572,17.174,10.846,2.412,-4.196,-3.828,-5.447,375.827,-0.942,171.776,-2.999,8.323,1.506,1,0.153,3,87.158,0.000,0.000,79.693,3,0,17,0,12,0,22,0,0.018
"screen_liperp.csv:1941",1,0,0,0,0,3,0,-1,286.332,3.955,582.970,94.452,130.586,357.932,0.000,979.678,1.000,4.000,0.0159659,0.0068614,0.8182909,34.545,10.895,15.263,9.188,3.258,-5.966,-5.394,-6.179,572.211,-0.917,270.581,-2.377,8.722,1.265,0,0.377,3,95.379,0.000,0.000,64.949,3,0,16,0,16,0,22,1,0.001
"screen_liperp.csv:1174",0,0,0,0,0,2,1,-2,286.332,7.817,551.841,101.672,155.364,294.805,0.000,947.329,1.500,4.500,0.0645083,0.0099872,0.8453140,33.289,10.490,16.624,10.297,2.547,-5.389,-4.949,-5.441,333.109,-1.007,150.773,-3.152,8.658,1.247,2,0.235,3,87.009,0.000,0.000,75.884,3,0,17,0,12,0,22,0,0.001
"screen_liperp.csv:2472",1,0,0,0,0,3,0,-2,287.320,11.996,584.766,94.037,139.818,350.911,0.000,976.001,1.000,5.000,0.1474403,0.0085504,0.8137349,34.330,10.865,17.548,10.192,2.750,-5.633,-5.035,-6.219,467.744,-1.025,217.605,-2.572,8.865,1.253,0,0.173,3,90.836,0.000,0.000,75.246,4,0,16,0,16,0,22,0,0.002
"screen_liperp.csv:2233",0,0,0,0,0,3,0,-2,286.332,11.111,559.885,88.182,182.713,288.990,0.000,956.508,2.000,4.000,0.1290615,0.0101036,0.8385436,32.959,10.824,17.924,10.483,2.510,-5.451,-5.330,-5.523,183.329,-1.350,79.066,-3.581,8.848,1.350,2,0.266,3,82.147,0.000,0.000,78.822,3,0,16,0,16,0,22,0,0.000
"screen_liperp.csv:617",0,0,0,0,0,3,0,-1,294.309,6.424,554.382,157.541,138.367,258.473,0.000,946.555,0.000,4.000,0.0436033,0.0000000,0.8409813,32.269,9.751,13.339,7.031,2.867,-4.140,-4.297,-5.338,482.797,-0.922,225.184,-2.871,8.856,1.381,3,0.168,3,91.769,0.000,0.000,73.835,5,0,16,0,16,2,22,0,0.029
"screen_liperp.csv:225",0,0,0,0,0,3,0,-1,286.332,10.108,565.678,86.456,137.191,342.031,0.000,967.689,1.000,4.000,0.1055766,0.0070712,0.8364110,33.913,10.754,16.337,9.083,3.125,-4.747,-4.394,-5.810,495.351,-0.925,231.519,-2.555,8.832,1.439,1,0.352,3,93.477,0.000,0.000,66.607,3,0,16,0,16,0,22,0,0.017
