molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"screen_liperp.csv:486",0,0,0,0,0,4,1,-2,310.284,4.277,567.415,90.894,179.086,250.451,46.984,953.067,1.000,6.500,0.0191974,0.0114555,0.8254290,31.811,9.923,15.986,11.007,1.789,-4.863,-4.795,-5.551,198.438,-1.315,155.792,-3.554,9.200,1.310,2,-0.212,3,78.542,46.984,0.000,100.568,5,0,14,0,14,0,23,0,0.001
"screen_liperp.csv:1803",0,0,0,0,0,2,0,-1,299.713,7.443,518.171,9.576,175.451,261.442,71.703,880.850,2.000,5.000,0.0628979,0.0136462,0.8576163,30.310,10.407,16.982,11.376,2.023,-4.053,-4.185,-5.083,214.833,-0.971,231.856,-3.640,9.031,1.386,2,-0.025,3,80.534,0.000,0.000,94.848,4,0,15,0,15,0,21,0,0.007
"screen_liperp.csv:160",1,0,0,0,0,3,0,0,301.347,7.729,551.677,74.162,106.214,371.301,0.000,956.584,2.000,2.500,0.0624559,0.0064087,0.8510644,33.748,10.908,16.272,9.025,3.703,-4.711,-5.387,-5.713,974.250,-0.595,480.955,-1.881,7.415,1.313,3,0.507,3,100.000,0.000,0.000,56.363,4,0,20,0,20,0,23,0,0.077
"screen_liperp.csv:1846",0,0,0,0,0,3,0,-2,290.321,9.996,560.293,84.030,169.751,306.512,0.000,951.850,2.000,5.500,0.1049786,0.0138823,0.8352100,32.940,10.799,18.348,11.992,1.917,-3.816,-3.892,-5.660,243.305,-1.240,107.362,-3.280,9.126,1.451,1,0.015,3,80.878,0.000,0.000,91.804,4,0,16,0,16,0,22,0,0.014
"screen_liperp.csv:1760",0,0,0,0,1,4,0,-2,286.332,10.455,522.227,84.393,163.362,274.473,0.000,920.243,2.000,4.000,0.1187792,0.0108322,0.8761404,30.727,10.383,16.957,12.279,1.797,-3.602,-4.569,-3.471,156.766,-1.096,124.837,-3.179,8.707,1.185,2,-0.172,3,76.756,0.000,31.594,76.827,3,0,14,0,14,0,22,0,0.047
"screen_liperp.csv:199",0,0,0,0,0,4,0,-2,286.332,6.646,560.990,78.796,160.026,322.168,0.000,956.392,1.000,3.500,0.0461878,0.0062390,0.8368237,32.629,10.664,14.850,8.379,3.077,-5.586,-5.583,-5.709,300.866,-1.201,135.062,-2.950,8.460,1.234,1,0.374,3,89.318,0.000,0.000,76.445,3,0,16,0,16,0,22,0,0.001
"screen_liperp.csv:159",1,0,0,0,0,3,0,0,301.347,7.737,554.944,73.958,106.233,374.753,0.000,958.304,2.000,2.500,0.0624701,0.0063710,0.8470671,33.850,10.935,16.301,9.056,3.716,-4.770,-5.387,-5.794,973.848,-0.604,480.740,-1.869,7.404,1.225,3,0.510,3,100.000,0.000,0.000,55.997,4,0,20,0,20,0,23,0,0.069
"screen_liperp.csv:198",0,0,0,0,0,4,0,-2,286.332,5.986,560.463,79.617,166.325,314.521,0.000,956.794,1.500,4.500,0.0374485,0.0098336,0.8378458,32.572,10.775,15.999,10.086,2.549,-5.211,-5.189,-5.656,262.206,-1.257,116.405,-3.093,8.435,1.143,1,0.171,3,85.161,0.000,0.000,77.757,3,0,16,0,16,0,22,0,0.001
"screen_liperp.csv:1844",0,0,0,0,0,3,0,-2,290.321,5.951,540.422,66.315,166.666,307.442,0.000,937.204,2.000,5.500,0.0377819,0.0143928,0.8570139,32.363,10.717,17.278,11.930,1.871,-3.513,-3.892,-5.312,260.260,-1.130,115.471,-3.220,9.020,1.459,1,-0.005,3,81.130,0.000,0.000,88.570,4,0,16,0,16,0,22,0,0.033
"screen_liperp.csv:3016",0,0,0,0,0,1,0,-1,299.713,3.328,526.509,0.000,165.544,289.456,71.509,889.503,2.000,5.000,0.0124550,0.0134301,0.8495546,31.566,10.583,16.736,11.740,2.163,-4.171,-4.244,-5.347,266.717,-0.850,292.216,-3.455,9.448,1.205,1,0.033,3,83.033,0.000,0.000,87.720,4,0,16,0,16,0,21,0,0.006
"screen_liperp.csv:814",0,1,0,0,0,3,0,1,302.760,9.594,534.273,132.234,142.496,197.192,62.351,919.684,2.000,2.000,0.1000870,0.0052940,0.8560399,30.609,10.033,15.633,7.575,2.912,-3.584,-4.044,-5.528,110.031,-0.362,110.606,-5.226,9.441,1.141,4,0.485,3,80.533,0.000,0.000,69.999,4,0,16,0,16,4,21,0,0.000
"screen_liperp.csv:1588",0,0,0,0,0,3,1,-2,304.304,8.307,566.269,173.007,156.486,236.775,0.000,961.954,2.000,6.000,0.0717429,0.0149846,0.8322337,32.678,10.306,17.884,11.934,1.908,-4.013,-3.983,-5.376,325.044,-1.124,146.831,-3.281,9.212,1.271,2,-0.041,3,83.076,0.000,0.000,94.631,5,0,16,0,16,0,23,0,0.015
"screen_liperp.csv:3101",0,0,0,0,0,2,0,-2,304.366,6.745,576.131,0.000,182.218,353.452,40.461,973.619,2.000,4.000,0.0467296,0.0098187,0.8245871,34.902,11.693,17.768,11.192,2.842,-6.070,-5.744,-6.056,185.322,-1.244,133.263,-3.441,9.256,1.294,2,0.346,3,84.177,0.000,0.000,78.705,3,0,17,0,17,0,22,1,0.000
"screen_liperp.csv:121",0,0,0,0,0,4,0,-2,294.309,12.371,562.233,127.635,169.221,265.378,0.000,951.230,1.000,3.500,0.1608754,0.0062252,0.8319658,31.880,10.263,16.096,8.058,2.912,-4.608,-4.675,-5.517,246.139,-1.308,108.715,-3.319,9.221,1.396,2,0.359,3,86.795,0.000,0.000,85.292,5,0,17,0,17,2,22,0,0.003
"screen_liperp.csv:1533",1,0,0,0,0,2,0,-1,274.321,12.754,554.115,150.932,134.898,268.286,0.000,936.436,1.000,4.000,0.1737100,0.0072187,0.8353791,32.600,9.904,16.704,8.759,2.848,-5.544,-5.154,-5.475,520.786,-0.846,244.395,-2.869,8.723,1.068,3,0.310,3,92.246,0.000,0.000,65.380,3,0,16,0,16,0,21,0,0.001
"screen_liperp.csv:1697",0,0,0,0,0,3,0,-2,289.333,6.408,547.691,79.838,163.798,304.055,0.000,946.071,2.000,4.500,0.0433964,0.0116196,0.8509657,32.685,10.736,16.892,10.920,2.414,-4.110,-4.217,-5.394,277.082,-1.125,123.559,-3.179,8.708,1.177,1,0.168,3,84.797,0.000,0.000,82.182,3,0,16,0,16,0,22,0,0.015
"screen_liperp.csv:190",0,1,0,0,0,3,0,1,301.344,2.685,569.728,51.050,105.012,413.667,0.000,975.011,2.000,3.500,0.0073947,0.0086879,0.8346486,34.890,11.327,16.469,10.333,2.968,-3.538,-3.991,-6.906,249.445,-0.224,122.020,-3.772,9.163,1.083,3,0.392,3,87.224,0.000,0.000,61.237,3,0,20,0,20,0,23,0,0.015
"screen_liperp.csv:2320",0,0,0,0,0,3,0,-2,292.355,1.531,551.181,90.897,182.355,234.460,43.470,931.644,2.000,4.000,0.0025166,0.0102631,0.8369582,31.443,10.490,15.773,10.103,2.459,-5.491,-5.388,-5.288,184.770,-1.246,137.974,-3.766,8.928,1.280,3,0.201,3,81.911,0.000,0.000,78.574,3,0,15,0,15,0,21,0,0.000
"screen_liperp.csv:2232",0,0,0,0,0,3,0,-2,286.332,2.202,557.514,86.330,182.632,288.552,0.000,953.081,2.000,4.000,0.0050878,0.0101466,0.8400966,32.818,10.791,16.178,10.473,2.489,-5.410,-5.330,-5.496,183.656,-1.343,79.218,-3.581,8.757,1.294,2,0.258,3,82.042,0.000,0.000,78.569,3,0,16,0,16,0,22,0,0.000
"screen_liperp.csv:200",0,0,0,0,0,4,0,-2,286.332,11.686,569.469,82.999,176.020,310.450,0.000,965.013,1.500,4.500,0.1415076,0.0096781,0.8293104,32.862,10.872,17.542,10.146,2.524,-5.366,-5.189,-5.774,212.179,-1.384,92.597,-3.286,8.324,1.352,1,0.188,3,83.368,0.000,0.000,78.241,3,0,16,0,16,0,22,0,0.001
"screen_liperp.csv:483",1,0,0,0,0,4,2,-2,300.316,6.293,594.941,0.000,184.878,410.062,0.000,996.178,0.250,5.250,0.0397555,0.0044122,0.8108043,35.061,11.629,15.650,9.853,2.571,-5.211,-5.138,-6.549,174.863,-1.552,75.127,-3.098,8.693,1.136,0,0.081,3,82.141,0.000,0.000,92.417,4,0,16,0,16,0,23,0,0.001
"screen_liperp.csv:470",0,0,0,0,0,3,1,0,293.321,7.465,562.082,186.946,103.935,271.201,0.000,959.026,1.000,5.000,0.0581093,0.0088955,0.8367303,32.890,9.935,15.587,9.351,2.810,-4.250,-3.840,-5.467,1023.966,-0.607,507.537,-2.192,8.876,0.969,1,0.138,3,100.000,0.000,0.000,73.662,4,0,17,3,14,3,22,0,0.106
"screen_liperp.csv:616",0,0,0,0,0,3,0,-1,294.309,3.884,555.350,151.545,138.778,265.027,0.000,948.161,0.000,4.000,0.0159075,0.0000000,0.8404651,32.396,9.814,13.015,7.081,2.883,-4.158,-4.297,-5.377,478.486,-0.927,223.011,-2.856,8.909,1.357,3,0.173,3,91.789,0.000,0.000,73.734,5,0,16,0,16,2,22,0,0.029
"screen_liperp.csv:758",0,1,0,0,0,3,0,1,296.368,6.564,558.367,192.331,152.120,213.916,0.000,975.452,2.000,2.000,0.0441718,0.0050655,0.8518883,33.000,10.308,15.469,7.790,2.981,-3.746,-3.543,-5.675,89.176,-0.616,40.139,-5.344,9.337,1.247,4,0.637,3,79.303,0.000,0.000,70.640,4,0,18,0,12,6,22,0,0.000
"screen_liperp.csv:265",1,0,0,0,0,2,0,-2,280.282,5.727,545.618,77.879,173.937,293.803,0.000,903.106,1.000,3.500,0.0363134,0.0064147,0.8281369,31.510,9.997,14.374,8.685,2.634,-4.677,-4.461,-5.714,222.055,-1.248,97.264,-3.498,8.929,1.854,2,0.312,3,84.366,0.000,0.000,84.200,5,0,16,0,16,0,21,0,0.002
"screen_liperp.csv:2278",0,0,0,0,0,3,0,-2,292.355,8.667,561.854,90.969,179.734,254.150,37.000,943.410,2.000,4.000,0.0796185,0.0100682,0.8279581,32.102,10.656,17.020,10.243,2.544,-5.646,-5.388,-5.528,195.649,-1.275,135.272,-3.649,8.970,1.030,3,0.226,3,82.852,0.000,0.000,79.013,3,0,15,0,15,0,21,0,0.000
"screen_liperp.csv:376",1,0,0,0,0,2,0,-1,298.728,4.759,522.541,83.466,157.583,210.022,71.471,889.240,2.000,5.500,0.0254671,0.0148853,0.8558365,30.155,9.992,16.507,11.408,1.942,-3.913,-3.932,-4.866,317.351,-0.816,352.445,-3.492,9.156,1.716,1,-0.081,3,83.092,0.000,0.000,88.637,4,0,14,0,14,0,21,0,0.012
"screen_liperp.csv:101",0,0,0,0,0,1,0,-2,288.305,7.222,508.733,0.000,188.237,320.496,0.000,874.175,3.000,5.000,0.0596563,0.0170232,0.8691089,31.249,10.626,18.589,13.502,1.491,-3.574,-4.074,-5.178,162.498,-1.158,69.402,-3.764,8.592,1.363,1,-0.040,3,75.247,0.000,0.000,94.210,4,0,18,0,18,0,22,0,0.013
"screen_liperp.csv:1802",0,0,0,0,0,2,0,-2,299.713,8.297,528.916,11.099,177.970,268.396,71.451,893.612,2.000,5.000,0.0770312,0.0133690,0.8482898,30.887,10.558,17.374,11.466,2.094,-4.223,-4.185,-5.267,203.333,-1.031,217.776,-3.662,9.078,1.406,2,0.000,3,80.519,0.000,0.000,92.807,4,0,15,0,15,0,21,0,0.005
"screen_liperp.csv:167",1,0,0,0,0,2,1,0,292.337,3.558,535.245,196.774,122.769,215.703,0.000,930.323,2.000,3.500,0.0136050,0.0092476,0.8610626,31.853,9.711,15.367,9.245,2.873,-4.323,-4.306,-4.809,678.712,-0.661,325.403,-2.830,7.264,1.216,3,0.329,3,94.452,0.000,0.000,70.923,4,0,18,4,14,3,22,0,0.021
"screen_liperp.csv:167",1,0,0,0,0,2,1,0,292.337,6.787,531.147,203.628,114.002,213.517,0.000,925.518,2.000,3.500,0.0497736,0.0093190,0.8647153,31.640,9.603,15.751,9.161,2.903,-4.253,-4.306,-4.739,821.902,-0.574,400.203,-2.676,7.103,1.112,3,0.318,3,96.115,0.000,0.000,70.729,4,0,18,4,14,3,22,0,0.034
"screen_liperp.csv:332",0,0,0,0,0,2,0,-1,298.273,7.983,527.072,88.114,156.957,258.592,23.409,896.637,1.000,3.500,0.0710832,0.0066405,0.8531785,30.915,9.509,14.695,8.293,2.742,-4.450,-4.825,-5.141,321.722,-0.937,195.088,-3.309,8.954,1.593,2,0.303,3,87.881,23.409,0.000,84.379,5,0,16,0,16,0,22,0,0.006
"screen_liperp.csv:440",0,0,0,0,0,4,2,-2,314.343,6.166,618.376,78.639,184.375,355.362,0.000,1046.354,0.250,5.250,0.0363361,0.0042450,0.8060553,36.546,11.740,16.025,9.534,2.810,-5.747,-5.426,-6.365,176.797,-1.569,76.025,-3.282,8.498,1.262,1,0.219,3,83.621,0.000,0.000,92.603,4,0,16,0,16,0,24,1,0.000
"screen_liperp.csv:3108",0,0,0,0,0,2,0,-2,304.366,1.494,561.967,0.000,173.539,364.338,24.090,959.168,2.000,4.000,0.0023256,0.0100662,0.8369845,34.427,11.482,16.925,11.167,2.769,-5.754,-5.744,-5.907,223.988,-1.149,133.040,-3.242,9.110,1.586,2,0.315,3,85.223,0.000,0.000,78.146,3,0,17,0,17,0,22,1,0.000
"screen_liperp.csv:2300",0,0,0,0,0,2,0,-2,292.355,10.093,541.688,73.545,186.169,254.021,27.952,920.397,2.000,4.000,0.1106689,0.0104430,0.8447593,31.822,10.461,17.419,10.455,2.331,-5.425,-5.388,-5.255,170.005,-1.228,103.680,-3.864,8.844,1.542,3,0.218,3,80.514,0.000,0.000,79.649,3,0,15,0,15,0,21,0,0.000
"screen_liperp.csv:882",0,1,0,0,0,3,0,1,288.733,6.652,534.553,116.035,161.107,185.927,71.484,895.610,2.000,2.000,0.0494023,0.0052912,0.8405952,29.538,9.847,14.629,7.629,2.647,-3.629,-3.762,-5.724,73.286,-0.563,79.991,-5.608,9.361,1.152,4,0.415,3,75.827,0.000,0.000,73.560,4,0,15,0,15,3,20,0,0.000
"screen_liperp.csv:2302",0,0,0,0,0,2,0,-2,292.355,3.629,552.804,91.540,176.905,251.085,33.273,932.781,2.000,4.000,0.0141216,0.0102330,0.8351814,32.290,10.503,16.206,10.400,2.483,-5.638,-5.388,-5.396,208.120,-1.166,137.974,-3.703,8.883,1.530,3,0.245,3,82.979,0.000,0.000,78.744,3,0,15,0,15,0,21,0,0.000
"screen_liperp.csv:3099",0,0,0,0,0,2,0,-2,304.366,6.360,564.032,0.000,173.405,365.272,25.355,961.514,2.000,4.000,0.0420741,0.0100293,0.8352786,34.530,11.515,17.508,11.178,2.789,-5.795,-5.744,-5.939,224.646,-1.152,135.611,-3.237,9.085,1.433,2,0.320,3,85.366,0.000,0.000,78.021,3,0,17,0,17,0,22,1,0.000
"screen_liperp.csv:1",0,0,0,0,0,1,0,-1,301.344,2.185,554.080,160.569,142.213,251.297,0.000,961.402,1.500,5.000,0.0049674,0.0110521,0.8502165,34.079,10.246,16.271,10.631,2.483,-4.439,-4.422,-5.154,443.906,-0.808,205.643,-3.159,8.470,1.189,3,0.231,3,88.864,0.000,0.000,79.098,3,0,18,0,18,0,23,0,0.008
"screen_liperp.csv:1364",0,0,0,0,0,3,3,-2,298.343,7.403,585.210,83.980,197.869,303.361,0.000,998.768,1.500,4.500,0.0548689,0.0094177,0.8257144,34.787,11.304,17.154,10.505,2.573,-5.801,-5.295,-5.799,131.676,-1.552,55.290,-3.810,8.321,1.318,1,0.318,3,79.948,0.000,0.000,87.601,3,0,19,3,16,2,23,1,0.000
"screen_liperp.csv:2728",2,0,0,0,0,2,1,-2,314.343,7.596,606.533,110.337,171.240,324.957,0.000,1031.290,1.000,6.000,0.0559553,0.0098923,0.8138868,36.937,11.459,17.904,11.487,2.436,-5.831,-4.947,-6.093,235.524,-1.281,103.656,-3.339,9.000,1.700,0,0.166,3,83.661,0.000,0.000,91.717,4,0,17,0,12,0,24,1,0.000
"screen_liperp.csv:2207",0,0,0,0,0,3,0,-2,286.332,11.068,564.727,78.753,182.750,303.224,0.000,958.214,2.000,4.000,0.1278388,0.0100170,0.8323424,33.163,10.923,17.981,10.591,2.533,-5.534,-5.330,-5.691,183.183,-1.376,78.998,-3.531,8.731,1.163,2,0.267,3,82.280,0.000,0.000,78.452,3,0,16,0,16,0,22,0,0.000
"screen_liperp.csv:126",0,0,0,0,0,0,0,0,290.321,4.617,534.771,133.341,108.367,293.062,0.000,919.058,1.000,4.000,0.0231892,0.0074798,0.8548553,33.425,9.791,14.963,9.141,2.968,-4.603,-4.654,-5.278,929.507,-0.425,457.125,-2.484,8.942,0.921,4,0.356,3,100.000,0.000,0.000,64.717,4,0,19,0,19,0,22,0,0.024
"screen_liperp.csv:1364",0,0,0,0,0,3,3,-2,298.343,2.695,586.802,88.250,193.930,304.622,0.000,1000.388,1.500,4.500,0.0072621,0.0093922,0.8243638,34.864,11.299,16.506,10.490,2.611,-5.829,-5.295,-5.827,143.503,-1.520,60.676,-3.733,8.312,1.320,1,0.321,3,80.840,0.000,0.000,85.693,3,0,19,3,16,2,23,1,0.000
"screen_liperp.csv:1204",0,0,0,0,0,3,0,-2,296.325,1.280,556.005,174.541,200.738,180.727,0.000,952.021,2.000,3.500,0.0017199,0.0089023,0.8417513,31.746,10.153,15.407,9.367,2.419,-4.519,-4.440,-4.955,123.682,-1.506,51.670,-4.294,9.498,1.137,4,0.335,3,78.558,0.000,0.000,97.467,5,0,16,0,16,4,22,0,0.000
"screen_liperp.csv:1423",0,0,0,0,0,2,1,-2,298.343,8.294,572.568,64.915,165.842,341.811,0.000,984.021,1.500,4.500,0.0699131,0.0096257,0.8356171,35.207,11.227,17.474,10.738,2.753,-5.745,-5.185,-5.822,264.983,-1.141,117.738,-3.180,8.519,1.546,1,0.326,3,86.436,0.000,0.000,77.107,3,0,19,0,12,0,23,1,0.000
"screen_liperp.csv:945",0,0,0,0,0,4,0,-2,302.332,2.532,573.701,111.925,147.599,314.177,0.000,993.053,1.000,6.000,0.0064561,0.0104584,0.8390627,34.020,10.888,16.083,10.733,2.400,-4.653,-4.821,-5.634,394.657,-1.075,181.097,-2.749,9.075,1.440,2,-0.005,3,87.465,0.000,0.000,87.450,4,0,16,0,16,2,23,0,0.006
"screen_liperp.csv:3107",0,0,0,0,0,2,0,-2,304.366,10.016,557.142,0.000,183.849,337.040,36.253,954.437,2.000,4.000,0.1051139,0.0101533,0.8414550,33.977,11.415,18.258,11.044,2.683,-5.725,-5.744,-5.705,178.838,-1.199,121.602,-3.529,9.259,1.534,2,0.305,3,82.972,0.000,0.000,78.879,3,0,17,0,17,0,22,1,0.000
"screen_liperp.csv:1837",0,0,0,0,0,3,0,-2,290.321,3.196,556.276,82.109,175.330,298.838,0.000,947.742,2.000,5.500,0.0107796,0.0139826,0.8388189,32.702,10.755,17.000,11.968,1.940,-3.985,-3.892,-5.565,215.402,-1.279,94.118,-3.410,8.737,1.337,2,0.008,3,80.068,0.000,0.000,91.221,4,0,16,0,16,0,22,0,0.012
"screen_liperp.csv:549",1,0,0,0,0,2,0,-1,302.332,4.758,538.042,69.002,133.163,335.878,0.000,935.040,2.000,4.000,0.0242094,0.0105138,0.8594797,33.190,10.670,16.493,10.632,2.729,-4.147,-4.824,-5.408,540.903,-0.759,254.615,-2.598,8.753,2.065,3,0.264,3,91.843,0.000,0.000,74.066,4,0,19,0,19,0,23,0,0.044
"screen_liperp.csv:2120",0,0,0,0,0,3,0,-2,301.347,6.196,615.659,182.446,137.460,295.752,0.000,1034.266,1.000,5.000,0.0371172,0.0081214,0.8033659,36.135,11.036,16.538,9.875,3.063,-5.926,-5.313,-6.124,492.455,-1.037,230.057,-2.723,8.531,1.174,1,0.323,3,93.068,0.000,0.000,74.244,4,0,16,0,16,0,23,1,0.000
"screen_liperp.csv:2194",0,0,0,0,0,3,0,-2,286.332,6.110,567.125,78.787,183.109,305.229,0.000,961.038,2.000,4.000,0.0388512,0.0099746,0.8304500,33.295,10.963,16.807,10.613,2.550,-5.575,-5.330,-5.731,181.751,-1.387,78.331,-3.531,8.622,1.123,2,0.274,3,82.315,0.000,0.000,78.895,3,0,16,0,16,0,22,0,0.000
"screen_liperp.csv:526",0,0,0,0,0,2,0,-1,302.332,2.707,548.322,72.277,137.101,338.944,0.000,950.995,2.000,4.500,0.0077037,0.0116063,0.8529335,33.858,10.850,16.778,11.197,2.654,-4.283,-4.649,-5.528,496.330,-0.813,232.014,-2.660,9.120,0.980,5,0.224,3,90.737,0.000,0.000,74.733,4,0,19,0,19,0,23,0,0.034
"screen_liperp.csv:481",0,0,0,0,0,3,0,-1,310.357,7.111,595.411,88.118,129.870,377.423,0.000,1020.851,1.000,3.500,0.0495348,0.0058783,0.8234859,36.379,11.448,16.150,8.853,3.755,-6.365,-6.370,-6.188,581.221,-0.894,275.189,-2.295,8.815,1.192,2,0.588,1,100.000,0.000,0.000,60.892,4,0,21,0,21,0,24,1,0.001
"screen_liperp.csv:1587",0,0,0,0,0,3,1,-2,304.304,7.965,564.657,172.489,156.206,235.962,0.000,962.640,2.000,6.000,0.0659116,0.0150273,0.8350066,32.698,10.313,17.818,11.923,1.915,-3.986,-3.983,-5.327,327.041,-1.111,147.806,-3.279,9.486,1.320,2,-0.038,3,83.167,0.000,0.000,95.143,5,0,16,0,16,0,23,0,0.017
"screen_liperp.csv:487",0,0,0,0,0,3,0,0,304.348,8.849,600.948,88.546,80.155,432.247,0.000,1023.729,1.000,3.500,0.0764907,0.0058241,0.8174313,37.017,11.503,16.564,8.901,4.179,-5.465,-5.068,-6.548,1721.026,-0.417,889.628,-1.186,8.542,0.965,1,0.594,3,100.000,0.000,0.000,56.072,4,0,18,0,18,0,23,0,0.068
"screen_liperp.csv:1721",0,0,0,0,0,3,0,-2,291.306,3.344,541.877,11.381,185.025,345.471,0.000,931.659,2.000,5.000,0.0120048,0.0130492,0.8513385,32.504,11.038,16.838,11.824,1.973,-3.801,-4.083,-5.585,174.305,-1.319,74.868,-3.424,8.546,1.105,1,0.054,3,78.611,0.000,0.000,97.934,4,0,16,0,16,0,22,0,0.014
"screen_liperp.csv:2221",0,0,0,0,0,3,0,-2,286.332,7.105,536.568,53.633,156.248,326.687,0.000,930.967,2.000,4.000,0.0542211,0.0105427,0.8593356,32.297,10.728,16.656,10.503,2.590,-5.053,-5.330,-5.366,326.738,-1.028,147.658,-2.960,8.916,1.353,2,0.211,3,87.108,0.000,0.000,75.390,3,0,16,0,16,0,22,0,0.003
"screen_liperp.csv:1913",1,0,0,0,0,3,0,-1,286.332,4.567,582.650,94.351,128.663,359.636,0.000,979.685,1.000,4.000,0.0212919,0.0068652,0.8187448,34.561,10.895,15.336,9.186,3.274,-5.960,-5.394,-6.180,596.750,-0.897,283.145,-2.336,8.597,1.060,0,0.378,3,95.796,0.000,0.000,64.388,3,0,16,0,16,0,22,1,0.001
"screen_liperp.csv:122",1,0,0,0,0,2,0,0,301.347,7.242,550.108,161.096,120.279,268.733,0.000,955.548,2.000,4.500,0.0548874,0.0115686,0.8528752,33.369,10.280,17.057,10.610,2.733,-4.358,-4.510,-5.194,716.624,-0.659,345.094,-2.598,8.848,1.752,3,0.235,3,94.053,0.000,0.000,69.899,4,0,17,0,17,0,23,0,0.037
"screen_liperp.csv:2771",1,0,0,0,0,3,0,-1,283.344,5.990,511.536,0.000,139.783,369.665,2.088,872.088,2.000,4.500,0.0411374,0.0124409,0.8629695,30.351,10.367,16.061,11.116,2.219,-3.516,-4.101,-5.512,468.103,-0.864,223.598,-2.505,8.698,1.144,0,-0.011,3,87.730,0.000,0.000,65.131,3,0,16,0,16,0,20,0,0.270
"screen_liperp.csv:1692",0,0,0,0,0,3,0,-1,289.333,8.574,544.011,70.250,125.568,348.193,0.000,941.366,2.000,4.500,0.0781005,0.0116982,0.8538795,32.918,10.743,17.339,10.951,2.703,-4.048,-4.217,-5.557,638.471,-0.765,304.600,-2.319,8.791,1.229,1,0.157,3,92.978,0.000,0.000,71.755,3,0,16,0,16,0,22,0,0.124
"screen_liperp.csv:485",1,0,0,0,0,4,2,-2,300.316,6.498,595.940,0.000,183.883,412.057,0.000,996.689,0.250,5.250,0.0423619,0.0044048,0.8097213,35.100,11.640,15.694,9.862,2.583,-5.221,-5.138,-6.576,178.706,-1.547,76.913,-3.073,8.630,1.097,0,0.082,3,82.378,0.000,0.000,92.073,4,0,16,0,16,0,23,0,0.001
"screen_liperp.csv:2310",0,0,0,0,0,2,0,-1,292.355,8.692,539.341,88.438,166.221,234.089,50.592,920.698,2.000,4.000,0.0820589,0.0104885,0.8486194,31.644,10.358,16.957,10.186,2.536,-5.483,-5.388,-5.098,262.798,-0.972,220.890,-3.566,8.786,1.257,3,0.221,3,85.100,0.000,0.000,77.584,3,0,15,0,15,0,21,0,0.000
"screen_liperp.csv:1274",0,0,0,0,0,4,0,-2,284.317,2.505,566.276,92.569,138.461,335.246,0.000,955.305,0.000,3.750,0.0065677,0.0000000,0.8283837,32.711,10.342,12.902,7.115,3.136,-5.333,-5.330,-5.908,481.811,-1.023,224.687,-2.506,8.895,1.450,1,0.218,3,93.323,0.000,0.000,59.358,3,0,16,0,16,0,22,0,0.004
"screen_liperp.csv:68",0,0,0,0,0,3,1,-2,293.321,10.698,550.921,166.952,193.790,190.179,0.000,947.599,1.500,7.000,0.1207822,0.0155616,0.8468877,31.659,10.031,18.167,12.087,1.326,-3.457,-3.293,-4.916,143.942,-1.419,60.876,-4.133,8.507,1.093,3,-0.233,3,73.337,0.000,0.000,107.044,4,0,16,0,16,2,22,0,0.008
"screen_liperp.csv:1848",0,0,0,0,0,3,0,-2,290.321,5.259,546.244,80.101,178.694,287.448,0.000,938.322,2.000,5.500,0.0294732,0.0142394,0.8485539,32.216,10.639,17.114,11.889,1.778,-3.546,-3.892,-5.353,200.143,-1.272,86.932,-3.512,9.074,1.427,1,-0.009,3,78.545,0.000,0.000,93.416,4,0,16,0,16,0,22,0,0.013
"screen_liperp.csv:817",0,1,0,0,0,3,0,1,288.733,5.219,514.888,83.487,156.951,202.959,71.491,873.444,2.000,2.000,0.0311862,0.0054933,0.8582405,28.813,9.792,14.182,7.669,2.560,-3.277,-3.767,-5.520,80.248,-0.464,88.244,-5.472,9.338,1.245,5,0.360,3,76.023,0.000,0.000,71.959,4,0,14,0,14,2,20,0,0.001
"screen_liperp.csv:3118",0,0,0,0,0,3,0,-2,304.366,7.945,579.419,0.000,183.351,354.881,41.187,976.175,2.000,4.000,0.0646622,0.0097630,0.8213424,34.375,11.734,17.797,10.997,2.853,-5.967,-5.744,-6.115,180.794,-1.328,130.941,-3.360,9.349,1.112,2,0.308,3,84.048,0.000,0.000,79.022,3,0,17,0,17,0,22,1,0.000
"screen_liperp.csv:1899",0,0,0,0,0,3,0,0,281.744,6.112,515.771,105.612,126.301,212.482,71.376,883.581,1.000,2.500,0.0422730,0.0048471,0.8633885,29.310,9.541,13.204,6.555,3.404,-5.588,-5.807,-4.756,628.333,-0.572,736.573,-2.811,8.786,1.246,1,0.412,3,96.960,0.000,0.000,55.339,3,0,15,0,15,0,20,0,0.001
